rep,gen,obj1,obj2
0,0,21.364306598519082,26226.26893430967
0,1,2.1605e-320,
0,2,3.6541058596604065e-86,26166.740092558877
0,3,21.351590742324678,26164.98794868399
0,4,21.243172657721875,25072.922518280055
0,5,1.1336957414637644e-95,1.5184521270198736e-47
0,6,5.35539601414012e-38,24348.555498984308
0,7,2.0029124508098157e-76,2.812327643460116e-77
0,8,1.3038881799233777e-76,23768.647965114666
0,9,9.925189674347909e-96,23645.326049546307
0,10,1.90058288359878e-52,5.046575929390963e-38
0,11,3.5036789923648306e-33,22369.59799042446
0,12,5.6016059326095095e-67,20253.74984656102
0,13,3.572800472745728e-62,5.046575929392826e-38
0,14,2.743866433953554e-57,20194.734125138395
0,15,8.544056061836839e-72,2.3194290567398373e-52
0,16,5.2046053271532595e-90,19368.6181522402
0,17,6.824732440694004e-38,18347.845172088408
0,18,4.1744377830729e-62,18099.623589034472
0,19,5.64121145302098e-38,17700.55733060071
0,20,21.191934502070417,17388.28946653969
0,21,21.157519581784676,3.8534276556565347e-57
0,22,21.104340358495335,1.722915470790236e-47
0,23,2.0892833452607e-76,16751.239773756275
0,24,5.060360890000618e-38,6.01034602619122e-67
0,25,9.934283288056036e-96,5.648099167917026e-38
0,26,21.02880778246047,16046.314940353453
0,27,21.017166920845398,15950.331311840571
0,28,5.04657592939149e-38,15653.94252330041
0,29,8.608250537815957e-67,15380.34075062718
0,30,20.864024257511335,15193.887208351382
0,31,20.75333615657574,14995.207995672632
0,32,8.616618415482699e-43,14699.24599671106
0,33,4.9160379582758575e-62,14328.946000729657
0,34,2.8123292777079524e-77,4.436327580070723e-38
0,35,3.508213519401085e-33,14090.398685437873
0,36,1.4867769818071797e-76,2.5266074859234647e-52
0,37,20.707594982078767,13800.598337439931
0,38,4.907521621238861e-62,13682.48843157721
0,39,20.66348969276355,13618.576557157614
0,40,2.9666064960414664e-260,3.453007938008084e-86
0,41,20.645569960608178,13154.1136217717
0,42,20.61676608996706,6.008925283453722e-67
0,43,20.562275925024984,12925.931975934584
0,44,4.758474117430874e-38,12628.150104003958
0,45,2.2158302335562416e-52,11836.965235627042
0,46,20.55694196859915,11418.654315930879
0,47,7.716291101132621e-43,11250.308133713692
0,48,20.353412941709298,11175.307061896418
0,49,9.734889655880049e-72,2.812322688834238e-77
0,50,2.9085200887757666e-33,11034.929305470772
0,51,5.2065379233804024e-90,1.4492274966543042e-47
0,52,9.162259695254344e-72,10570.404483624825
0,53,3.307324001086007e-33,8.243153634921405e-67
0,54,3.940857958576381e-62,10340.503200434854
0,55,20.340072858765666,5.207489269106047e-90
0,56,20.313708425259446,9912.929314012217
0,57,1.6925855927026775e-52,9776.350691999578
0,58,20.226097624350224,9441.098178668863
0,59,1.6561861803160923e-76,8738.609180173476
0,60,4.664416554951187e-62,6.232433865798304e-38
0,61,20.153615078729448,8685.597462036512
0,62,2.967412876384045e-260,3.6541058836305894e-86
0,63,9.177744581095873e-72,8646.52943799361
0,64,3.6696441504535345e-62,8607.648080529463
0,65,19.84154707062528,7.509064289805758e-96
0,66,6.812118425679321e-38,8365.783837885536
0,67,5.204609087239547e-90,7968.806452706664
0,68,6.521697829862846e-38,2.967808298397884e-260
0,69,4.4584178933518006e-86,7636.081831078046
0,70,19.80640726626221,1.3047315479672017e-76
0,71,4.016461008475455e-57,7474.138232799835
0,72,19.690250362679084,2.003749916326675e-52
0,73,1.3150578728851933e-47,6807.099477688932
0,74,19.492747141242784,1.1308835853969557e-42
0,75,19.427416403265216,9.16660364835452e-72
0,76,1.0846421044983229e-42,5926.737607811872
0,77,6.007453581363137e-67,1.2455649424391428e-47
0,78,2.9686037393403673e-260,3.453013966555909e-86
0,79,19.396881578718883,5918.84876838641
0,80,19.290543768359086,5862.90239533544
0,81,19.099943362294656,1.4269301049154393e-71
0,82,1.7247854151362774e-47,5730.273660335
0,83,18.992398486998702,5495.2278777837155
0,84,4.760726091847337e-38,5426.305766636415
0,85,18.706373461196574,5375.702763055334
0,86,7.982515092730847e-72,5313.151999593988
0,87,18.674413085195347,5211.760340625647
0,88,4.186782035912033e-62,5147.502130170241
0,89,1.7465235508246736e-76,5018.85541674243
0,90,18.53547061794179,4982.094071234017
0,91,18.508573049648685,4850.80742085679
0,92,9.730372905598461e-72,1.3690064655466758e-71
0,93,18.39505540374881,4783.448550116865
0,94,18.299457920443565,4572.66125304642
0,95,18.228319644979827,4555.058458521332
0,96,5.227690863626286e-67,4369.743098368941
0,97,8.608267473083747e-67,1.6561861492901488e-76
0,98,18.214884925657206,4337.121402929413
0,99,17.994724146251002,4273.430412680197
0,100,17.71253696011133,4240.577116497931
0,101,1.0387835005959354e-95,4197.5576356407555
0,102,2.11101756799922e-52,4085.6655706224524
0,103,3.855160778851359e-86,3965.0770956524566
0,104,1.798218781566626e-52,3928.365159366042
0,105,9.179972543773062e-72,2.9532268936383546e+179
0,106,17.623697020951937,3729.2851235287876
0,107,4.851098277304745e-33,3608.034127366832
0,108,17.484365322868292,3571.822358281746
0,109,17.352653880037295,3447.2057167584294
0,110,17.277535409020498,3305.2624210545355
0,111,17.24473494431205,6.74928926224381e-67
0,112,3.926395351162406e+179,7.509064430311195e-96
0,113,4.079203942350144e-33,3135.7432776096516
0,114,17.036129821431672,6.375499305734341e-67
0,115,3.5728060147369793e-62,1.0285331641464557e-71
