rep,gen,obj1,obj2
0,0,28006.038452615307,110904.33813241324
0,1,9.097588401193e-312,9.097588389336e-312
0,2,9.097588397636e-312,9.09758839329e-312
0,3,27920.39641917555,9.097588406727e-312
0,4,27166.969226208625,110796.57382582084
0,5,9.097588390126e-312,109060.39081095735
0,6,9.097588396846e-312,107415.87044434222
0,7,26288.65398157677,102832.65590966407
0,8,25890.33676642203,99611.0055670623
0,9,9.09758838973e-312,95268.28377009826
0,10,24614.26866300258,95179.54920959884
0,11,23846.453684017593,91561.16368869203
0,12,9.09758839645e-312,89832.93110063748
0,13,23512.015786230688,9.09758839882e-312
0,14,9.09758840633e-312,81266.27106171311
0,15,9.097588391707e-312,9.097588392893e-312
0,16,22543.332228101295,80008.13763206766
0,17,22507.32980716564,78677.45625845034
0,18,21768.542023649952,78322.26869648746
0,19,9.097587938116e-312,75992.50854917223
0,20,21097.844964570504,9.09758792863e-312
0,21,19982.69284512882,71768.11125779872
0,22,9.097587928234e-312,70570.01886852724
0,23,19696.703200869903,9.097587934954e-312
0,24,19363.803959604367,59922.15590499113
0,25,18684.666633704797,9.097587931396e-312
0,26,18381.769197614252,59257.52037922075
0,27,9.09758793021e-312,58035.85183102673
0,28,17959.726428009584,9.097587931e-312
0,29,17828.2111353421,55943.88475041109
0,30,16335.8814181248,53448.8880310308
0,31,16077.075174778509,9.097587938906e-312
0,32,9.09758794207e-312,51378.572613047254
0,33,9.097588109576e-312,9.097588117876e-312
0,34,15463.994132417543,50116.213075401734
0,35,9.097588111157e-312,50037.502077290774
0,36,14920.324837268769,49646.25038370064
0,37,13296.750429247055,47756.058763598274
0,38,9.09758811076e-312,46174.93578539392
0,39,9.0975881076e-312,46137.3370527105
0,40,9.097588121434e-312,45670.9049871082
0,41,13011.299897184186,9.097588116295e-312
0,42,12749.067250951217,45498.44323033955
0,43,12499.176563476469,9.097588107205e-312
0,44,9.097588110367e-312,43817.93937758288
0,45,12132.583033906756,43431.348544683104
0,46,11759.294588277124,9.09758810602e-312
0,47,9.09758811827e-312,42053.18326315785
0,48,11021.66946710274,9.097588123805e-312
0,49,10694.197105687601,41627.0881598055
0,50,9.097588115505e-312,40603.586465273635
0,51,9.09758810918e-312,9.09758812262e-312
0,52,10669.702188713958,40168.84288116463
0,53,10606.861866411016,36772.16836093357
0,54,9.09758812104e-312,36699.455757101125
0,55,10185.334567798498,9.097588123015e-312
0,56,9769.271953721902,34111.25809613574
0,57,9.097588254397e-312,33319.35083995421
0,58,9722.687969431425,32902.377413775044
0,59,9.097588260325e-312,31767.189800228458
0,60,9698.471344329693,9.09758825835e-312
0,61,9152.97882889322,31517.267459496157
0,62,9134.934545002083,30873.783520039113
0,63,8969.83515782563,30111.308893938538
0,64,9.097588258744e-312,9.09758825479e-312
0,65,8878.144333489718,28819.362715249474
0,66,8669.005800889154,9.097588247677e-312
0,67,8284.832380968232,27151.893793125844
0,68,8056.823847788578,9.09758825677e-312
0,69,9.09758825321e-312,25802.654132843192
0,70,7696.462278139874,25791.989995105254
0,71,7347.869511658071,25208.065630978053
0,72,7200.874759715129,24036.104658461598
0,73,9.09758826428e-312,23694.74253863618
0,74,9.097588263883e-312,23304.042965060664
0,75,7059.472470473147,9.0975882623e-312
0,76,9.097588256373e-312,23213.07270344504
0,77,7042.593974873048,23159.007996686676
0,78,6460.302801456974,22467.69337411561
0,79,6375.185696173339,22387.27638299072
0,80,9.097588257954e-312,22334.96385796815
0,81,6116.728497057378,21399.4891384941
0,82,9.09758705291e-312,20960.56845729665
0,83,9.0975870537e-312,9.097587054094e-312
0,84,5881.110836233454,20497.405436853798
0,85,9.09758705528e-312,9.097587055675e-312
0,86,9.09758705607e-312,20312.871968974534
0,87,9.09758705686e-312,20144.630398419
0,88,5772.811041844037,19770.613051195374
0,89,5576.608366230569,9.097587058837e-312
0,90,5359.052848236317,19657.805604564295
0,91,9.097587060023e-312,18529.506410601545
0,92,9.097587060813e-312,9.09758706121e-312
0,93,9.097587061604e-312,18426.265132895223
0,94,5272.8060293973085,18248.028521606255
0,95,9.097587063185e-312,9.09758706358e-312
0,96,5118.145787144449,9.09758706437e-312
0,97,5103.416050607748,17222.903062978832
0,98,5086.110120569265,9.09758706595e-312
0,99,4971.404399211426,17204.957059218144
0,100,4747.87590180558,16960.77056594011
0,101,9.09758706793e-312,16469.087969725766
0,102,4680.117462082847,16109.609968494548
0,103,4487.964543462687,9.097587069904e-312
0,104,4176.311498176387,9.097587070694e-312
0,105,9.09758707109e-312,15418.919822084059
0,106,9.09758707188e-312,9.09758853139e-312
0,107,3955.128379102239,14149.306086478406
0,108,9.097588532575e-312,9.09758853455e-312
0,109,3796.6924453541105,13188.706549650778
0,110,3716.8367271310353,9.09758853376e-312
0,111,9.09758853969e-312,9.09758853653e-312
0,112,3692.8760802029806,9.09758852981e-312
0,113,9.097588539295e-312,12966.380857644901
0,114,3688.316791653473,12663.72681695868
0,115,3547.1432434429753,9.097588540876e-312
0,116,3484.3239806628903,9.09758853732e-312
0,117,9.0975885306e-312,12385.436454073348
0,118,9.097588535737e-312,11613.056893503384
0,119,3442.208221325868,9.097588534947e-312
0,120,3411.264849319781,9.097588537714e-312
0,121,9.0975885389e-312,9.097588534156e-312
0,122,3408.246091675672,11379.970304959994
0,123,3223.7426627789782,11313.440327028206
0,124,9.09758854364e-312,9.09758854404e-312
0,125,9.097588544433e-312,11205.861031301312
0,126,9.097588545223e-312,9.09758854562e-312
0,127,9.097588546014e-312,10567.682783767223
0,128,3038.9390936662126,10183.720266599583
0,129,9.097588547595e-312,9.09758854799e-312
0,130,9.097588548385e-312,9.09758854878e-312
0,131,2973.21394853312,9971.314774618226
0,132,2927.746871379564,9471.294076959648
0,133,9.097588065545e-312,9.09758806594e-312
0,134,9.097588066335e-312,9.09758806673e-312
0,135,2779.6351845389845,9.09758806752e-312
0,136,2697.988220800339,9.09758806831e-312
0,137,9.097588068707e-312,9346.568362273887
0,138,2505.170412597987,8903.591186692089
0,139,9.09758807029e-312,9.097588070683e-312
0,140,2471.190569205095,8541.0382616729
0,141,9.09758807187e-312,9.097588072264e-312
0,142,9.09758807266e-312,8435.010355302617
0,143,9.09758807345e-312,9.097588073845e-312
0,144,2417.2356933014744,8296.478074297527
0,145,2284.5876616235687,8097.306738011897
0,146,9.09758807582e-312,9.097588076217e-312
0,147,2275.778614015288,8015.234922771036
0,148,9.097588077403e-312,8001.093400154583
0,149,9.097588078193e-312,7860.690992153011
0,150,2258.6197602557945,7853.5504005711555
0,151,9.097588079774e-312,7602.401208118997
0,152,9.097588080565e-312,7447.688404417772
0,153,2258.4993206986737,9.09758808175e-312
0,154,2109.7066038080366,7435.586106010824
0,155,9.097588082936e-312,7139.475426727854
0,156,9.097588083727e-312,6986.606587319264
0,157,2070.9736494680565,9.09758832823e-312
0,158,9.097588328625e-312,6971.076568980983
0,159,2055.085595845877,6850.256024610001
0,160,9.097588330206e-312,6673.105720822234
0,161,1956.1013352294335,6227.642849559028
0,162,1952.5870973569918,9.097588331787e-312
0,163,9.09758833218e-312,6146.875221303852
0,164,1890.320955778845,9.09758833337e-312
0,165,1877.832501379854,9.09758833416e-312
0,166,1824.2595580223692,6064.067031800932
0,167,9.097588335344e-312,5656.594056624976
0,168,9.097588336135e-312,5592.666956445853
0,169,1823.9382623288946,9.09758833732e-312
0,170,1755.3796374466792,5492.261050270554
0,171,9.097588338506e-312,9.0975883389e-312
0,172,9.097588339297e-312,9.09758833969e-312
0,173,1669.0817700799043,5130.485950866005
0,174,1666.8630218004025,9.097588341273e-312
0,175,9.09758834167e-312,4925.938822069153
0,176,1648.2010027096512,9.097588342854e-312
0,177,1636.226324509752,4860.847679617109
0,178,9.09758834404e-312,9.097588344435e-312
0,179,1620.7803472139112,9.097588345226e-312
0,180,9.09758834562e-312,4827.546980538128
0,181,1489.4040016241515,4772.247584670911
0,182,9.097588630993e-312,4740.214605052599
0,183,1427.1378770214012,9.09758863218e-312
0,184,9.097588632574e-312,4614.606615850053
0,185,9.097588633365e-312,9.09758863376e-312
0,186,9.097588634155e-312,9.09758863455e-312
0,187,9.097588634946e-312,4445.94987776012
0,188,9.097588635736e-312,9.09758863613e-312
0,189,1420.7012345242806,9.09758863692e-312
0,190,1361.5367077545236,9.097588637713e-312
0,191,9.09758863811e-312,9.097588638503e-312
0,192,1333.2846470552645,3937.8768229485786
0,193,1301.7279578775006,9.097588640084e-312
0,194,9.09758864048e-312,3463.4374721702384
0,195,9.09758864127e-312,9.097588641665e-312
0,196,9.09758864206e-312,9.097588642456e-312
0,197,1251.3909861355908,9.097588643246e-312
0,198,9.09758864364e-312,9.097588644037e-312
0,199,9.09758864443e-312,9.097588644827e-312
0,200,9.09758864522e-312,9.09758864562e-312
0,201,1184.967576767473,9.09758864641e-312
0,202,9.097588646803e-312,9.0975886472e-312
0,203,9.097588647594e-312,3154.4967197428164
0,204,9.097588648384e-312,3153.919911266322
0,205,1131.2301310704702,9.09758864957e-312
0,206,9.097588649965e-312,3088.331815456936
0,207,1109.227500004779,9.097588206413e-312
0,208,9.09758820681e-312,9.097588207203e-312
0,209,9.0975882076e-312,3049.7486211000673
